x,z,y
119.54,41.54,8.00
119.54,42.04,8.00
119.54,42.54,8.00
119.54,43.04,8.00
119.54,43.54,8.00
119.54,44.04,8.00
119.54,44.54,8.00
119.54,45.04,8.00
119.54,45.54,8.00
119.54,46.04,8.00
119.54,46.54,8.00
119.54,47.04,8.00
119.54,47.54,8.00
119.54,48.04,8.00
119.54,48.54,8.00
119.54,49.04,8.00
119.54,49.54,8.00
119.54,50.04,8.00
119.54,50.54,8.00
119.54,51.04,8.00
119.54,51.54,8.00
119.54,52.04,8.00
119.54,52.54,8.00
119.54,53.04,8.00
119.54,53.54,8.00
119.54,54.04,8.00
119.54,54.54,8.00
119.54,55.04,8.00
119.54,55.54,8.00
119.54,56.04,8.00
119.54,56.54,8.00
119.54,57.04,8.00
119.54,57.54,8.00
119.54,58.04,8.00
119.54,58.54,8.00
119.54,59.04,8.00
119.54,59.54,8.00
119.54,60.04,8.00
119.54,60.54,8.00
119.54,61.04,8.00
119.54,61.54,8.00
119.54,62.04,8.00
119.54,62.54,8.00
119.54,63.04,8.00
119.44,63.50,8.00
119.09,63.85,8.00
118.73,64.21,8.00
118.38,64.56,8.00
118.03,64.91,8.00
117.67,65.27,8.00
117.32,65.62,8.00
116.97,65.97,8.00
116.61,66.33,8.00
116.26,66.68,8.00
115.91,67.03,8.00
115.55,67.39,8.00
115.20,67.74,8.00
114.85,68.09,8.00
114.49,68.45,8.00
114.14,68.80,8.00
113.79,69.15,8.00
113.43,69.51,8.00
113.08,69.86,8.00
112.72,70.22,8.00
112.30,70.40,8.00
111.80,70.40,8.00
111.30,70.40,8.00
110.80,70.40,8.00
110.30,70.40,8.00
109.80,70.40,8.00
109.30,70.40,8.00
108.80,70.40,8.00
108.30,70.40,8.00
107.80,70.40,8.00
107.30,70.40,8.00
106.80,70.40,8.00
106.30,70.40,8.00
105.80,70.40,8.00
105.30,70.40,8.00
104.80,70.40,8.00
104.30,70.40,8.00
103.87,70.23,8.00
103.51,69.90,8.00
103.01,69.90,8.00
102.51,69.90,8.00
102.01,69.90,8.00
101.51,69.90,8.00
101.01,69.90,8.00
100.51,69.90,8.00
100.01,69.90,8.00
99.51,69.90,8.00
99.01,69.90,8.00
98.51,69.90,8.00
98.01,69.90,8.00
97.51,69.90,8.00
97.01,69.90,8.00
96.51,69.90,8.00
96.01,69.90,8.00
95.51,69.90,8.00
95.01,69.90,8.00
94.51,69.90,8.00
94.01,69.90,8.00
93.51,69.90,8.00
93.01,69.90,8.00
92.51,69.90,8.00
92.01,69.90,8.00
91.51,69.90,8.00
91.01,69.90,8.00
90.51,69.90,8.00
90.01,69.90,8.00
89.51,69.90,8.00
89.01,69.90,8.00
88.51,69.90,8.00
88.01,69.90,8.00
87.51,69.90,8.00
87.01,69.90,8.00
86.51,69.90,8.00
86.01,69.90,8.00
85.51,69.90,8.00
85.01,69.90,8.00
84.51,69.90,8.00
84.01,69.90,8.00
83.51,69.90,8.00
83.01,69.90,8.00
82.51,69.90,8.00
82.01,69.90,8.00
81.51,69.90,8.00
81.01,69.90,8.00
80.51,69.90,8.00
80.01,69.90,8.00
79.51,69.90,8.00
79.01,69.90,8.00
78.51,69.90,8.00
78.01,69.90,8.00
77.51,69.90,8.00
77.01,69.90,8.00
76.51,69.90,8.00
76.01,69.90,8.00
75.51,69.90,8.00
75.01,69.90,8.00
74.51,69.90,8.00
74.01,69.90,8.00
73.51,69.90,8.00
73.01,69.90,8.00
72.51,69.90,8.00
72.01,69.90,8.00
71.51,69.90,8.00
71.01,69.90,8.00
70.51,69.90,8.00
70.01,69.90,8.00
69.51,69.90,8.00
69.01,69.90,8.00
68.51,69.90,8.00
68.01,69.90,8.00
67.51,69.90,8.00
67.01,69.90,8.00
66.51,69.90,8.00
66.01,69.90,8.00
65.51,69.90,8.00
65.01,69.90,8.00
64.51,69.90,8.00
64.01,69.90,8.00
63.51,69.90,8.00
