x,z
6.551650429449551893e+01,5.151650429449552604e+01
6.587005768508879555e+01,5.187005768508879555e+01
6.622361107568207217e+01,5.222361107568207217e+01
6.657716446627534879e+01,5.257716446627534879e+01
6.693071785686862540e+01,5.293071785686862540e+01
6.671572875253809798e+01,5.328427124746189492e+01
6.636217536194483557e+01,5.363782463805517153e+01
6.600862197135155895e+01,5.399137802864844815e+01
6.565506858075828234e+01,5.434493141924171766e+01
6.530151519016500572e+01,5.469848480983499428e+01
6.494796179957172910e+01,5.505203820042827090e+01
6.459440840897845248e+01,5.540559159102154041e+01
6.424085501838517587e+01,5.575914498161481703e+01
6.388730162779190636e+01,5.611269837220809364e+01
6.353374823719863684e+01,5.646625176280136316e+01
6.318019484660536023e+01,5.681980515339463977e+01
6.282664145601208361e+01,5.717335854398791639e+01
6.247308806541880699e+01,5.752691193458119301e+01
6.211953467482553748e+01,5.788046532517446252e+01
6.176598128423226086e+01,5.823401871576773914e+01
6.141242789363898424e+01,5.858757210636101576e+01
6.105887450304571473e+01,5.894112549695428527e+01
6.070532111245243811e+01,5.929467888754756189e+01
6.035176772185916150e+01,5.964823227814083850e+01
5.999821433126589199e+01,6.000178566873410801e+01
5.964466094067261537e+01,6.035533905932738463e+01
5.929110755007933875e+01,6.070889244992066125e+01
5.893755415948606213e+01,6.106244584051393787e+01
5.858400076889279262e+01,6.141599923110720738e+01
5.823044737829951600e+01,6.176955262170048400e+01
5.787689398770623939e+01,6.212310601229376061e+01
5.752334059711296987e+01,6.247665940288703013e+01
5.716978720651969326e+01,6.283021279348030674e+01
5.681623381592641664e+01,6.318376618407358336e+01
5.646268042533314713e+01,6.353731957466685287e+01
5.610912703473987051e+01,6.389087296526012949e+01
5.575557364414659389e+01,6.424442635585340611e+01
5.540202025355331727e+01,6.459797974644668273e+01
5.504846686296004776e+01,6.495153313703995934e+01
5.456854249492377562e+01,6.500000000000000000e+01
5.406854249492377562e+01,6.500000000000000000e+01
5.356854249492377562e+01,6.500000000000000000e+01
5.306854249492377562e+01,6.500000000000000000e+01
5.256854249492377562e+01,6.500000000000000000e+01
5.206854249492377562e+01,6.500000000000000000e+01
5.156854249492377562e+01,6.500000000000000000e+01
5.106854249492377562e+01,6.500000000000000000e+01
5.056854249492377562e+01,6.500000000000000000e+01
5.006854249492377562e+01,6.500000000000000000e+01
4.956854249492377562e+01,6.500000000000000000e+01
4.906854249492377562e+01,6.500000000000000000e+01
4.856854249492377562e+01,6.500000000000000000e+01
4.806854249492377562e+01,6.500000000000000000e+01
4.756854249492377562e+01,6.500000000000000000e+01
4.706854249492377562e+01,6.500000000000000000e+01
4.656854249492377562e+01,6.500000000000000000e+01
4.606854249492377562e+01,6.500000000000000000e+01
4.556854249492377562e+01,6.500000000000000000e+01
4.506854249492377562e+01,6.500000000000000000e+01
